[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.9%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 20711: Nombre: docker, Tipo: docker, Uso CPU: 3%, Uso Memoria: 0.1%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 20920: Nombre: docker, Tipo: docker, Uso CPU: 4%, Uso Memoria: 0.1%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 20926: Nombre: docker, Tipo: docker, Uso CPU: 5%, Uso Memoria: 0.1%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 20946: Nombre: docker, Tipo: docker, Uso CPU: 4%, Uso Memoria: 0.1%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 21000: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:26:45.564883290+00:00] Contenedor PID 21025: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 1%, Uso Memoria: 0.1%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.9%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 20711: Nombre: docker, Tipo: docker, Uso CPU: 3%, Uso Memoria: 0.1%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 21000: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:26:55.567204486+00:00] Contenedor PID 21025: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 3%, Uso Memoria: 0.2%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.9%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 21502: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:27:35.310759812+00:00] Contenedor PID 21530: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 3%, Uso Memoria: 0.2%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.9%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 22321: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:28:36.437574842+00:00] Contenedor PID 22343: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 2%, Uso Memoria: 0.2%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.8%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 23320: Nombre: docker, Tipo: docker, Uso CPU: 3%, Uso Memoria: 0.1%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 23348: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 3%, Uso Memoria: 0.2%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 24144: Nombre: docker, Tipo: docker, Uso CPU: 1%, Uso Memoria: 0.1%
[2025-03-14T05:34:52.420288906+00:00] Contenedor PID 24169: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 2%, Uso Memoria: 0.2%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 6299: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 18%, Uso Memoria: 0.5%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 6321: Nombre: com.docker.back, Tipo: com.docker.back, Uso CPU: 16%, Uso Memoria: 0.8%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 6365: Nombre: com.docker.buil, Tipo: com.docker.buil, Uso CPU: 12%, Uso Memoria: 0.3%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 6366: Nombre: com.docker.dev-, Tipo: com.docker.dev-, Uso CPU: 1%, Uso Memoria: 0%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 23320: Nombre: docker, Tipo: docker, Uso CPU: 3%, Uso Memoria: 0.1%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 23348: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 3%, Uso Memoria: 0.2%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 24622: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 24661: Nombre: docker, Tipo: docker, Uso CPU: 1%, Uso Memoria: 0.1%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 24707: Nombre: docker, Tipo: docker, Uso CPU: 2%, Uso Memoria: 0.1%
[2025-03-14T05:38:03.081024033+00:00] Contenedor PID 24726: Nombre: docker-compose, Tipo: docker-compose, Uso CPU: 4%, Uso Memoria: 0.2%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 1715: Nombre: containerd, Tipo: containerd, Uso CPU: 9%, Uso Memoria: 0.2%
[2025-03-14T05:41:04.728564444+00:00] Contenedor PID 1766: Nombre: dockerd, Tipo: dockerd, Uso CPU: 25%, Uso Memoria: 0.4%
